case_id,date,time,zone,reportareadesc,neighborhddesc,locdesc,officer,emunit,emdivision,emsection,emshift,race,sex,age,timedisp,timearrive,timeclear,geox,geoy,addtime,ncodedesc,dispdesc,streetdir,street,city,state,zip,reccount,month,year
342201014352,2022-01-25,20:55:00,3451.0,204,LAUDERDALE MANORS HOA,,41869,OPB,PATR,PATR,FL02,,,,2339.0,0.0,1.0,93095031,65940381,2022-01-26T00:06:39.000,40-VANDALISM/MALICIO,B-ASSISTANCE RENDERED,NW,NW 15TH AV,FORT LAUDERDALE,FL,33311,1,1,2022
342201014261,2022-01-25,17:17:00,3431.0,116,IMPERIAL POINT ASSOCIATION,,42105,OPS,PATR,PATR,FL02,,,,1719.0,1727.0,1829.0,94779781,67881694,2022-01-25T18:35:55.000,40-VANDALISM/MALICIO,A-REPORT WRITTEN,N,N FEDERAL HWY,FORT LAUDERDALE,FL,33308,1,1,2022
342201014047,2022-01-25,10:52:00,3475.0,304,TARPON RIVER CIVIC ASSOC,,0,,,,,,,,,,,93443700,64593894,2022-01-25T13:23:10.000,40-VANDALISM/MALICIO,,SW,SW 11TH CT,FORT LAUDERDALE,FL,33315,1,1,2022
342201013845,2022-01-25,13:03:00,3441.0,217,DURRS HOMEOWNERS ASSOC,,45854,OPB,OPSB,PATR,FL03,,,,133.0,138.0,202.0,93154788,65474938,2022-01-25T02:07:36.000,40-VANDALISM/MALICIO,A-REPORT WRITTEN,NW,NW 14TH TER,FORT LAUDERDALE,FL,33311,1,1,2022
342201013758,2022-01-24,20:35:00,3452.0,202,LAKE AIRE PAM VIEW HOA,,45854,OPB,OPSB,PATR,FL03,,,,2154.0,2241.0,1.0,92416919,66136013,2022-01-25T00:07:23.000,40-VANDALISM/MALICIO,A-REPORT WRITTEN,NW,NW 19TH ST,FORT LAUDERDALE,FL,33311,1,1,2022
342201013647,2022-01-24,16:16:00,507.0,ROOSEVELT GARDENS,,,44613,OPB,PATR,PATR,FL01,,,,1618.0,1639.0,1653.0,92567131,65678631,2022-01-24T16:56:13.000,40-VANDALISM/MALICIO,A-REPORT WRITTEN,,NW 27TH AV/NW 11TH ST,FORT LAUDERDALE,FL,33311,1,1,2022
342201013537,2022-01-24,13:09:00,3420.0,218,FLAGLER VILLAGE CIVIC ASSOC,,44605,OPB,PATR,PATR,FL02,,,,1329.0,1405.0,1822.0,93708075,65389394,2022-01-24T18:26:31.000,40-VANDALISM/MALICIO,A-REPORT WRITTEN,N,N ANDREWS AV,FORT LAUDERDALE,FL,33311,1,1,2022
342201013532,2022-01-24,12:58:00,3452.0,203,LAKE AIRE PAM VIEW HOA,,42034,OPS,PATR,PATR,FL01,,,,1305.0,1317.0,1432.0,92628619,66083763,2022-01-24T14:40:29.000,40-VANDALISM/MALICIO,A-REPORT WRITTEN,NW,NW 25TH TER,FORT LAUDERDALE,FL,33311,1,1,2022
342201013499,2022-01-24,12:03:00,3431.0,116,IMPERIAL POINT ASSOCIATION,LEASIN OFFICE,45029,OPB,OPSB,PATR,FL02,,,,1305.0,1322.0,1502.0,94375494,67984613,2022-01-24T15:05:46.000,40-VANDALISM/MALICIO,A-REPORT WRITTEN,NE,NE 18TH AV,FORT LAUDERDALE,FL,33308,1,1,2022
342201013493,2022-01-24,11:54:00,3492.0,235,SHADY BANKS CIVIC ASSOC,,41866,OPB,LTDY,PATR,FL03,,,,1251.0,1305.0,1405.0,92991688,64504019,2022-01-24T14:15:12.000,40-VANDALISM/MALICIO,A-REPORT WRITTEN,SW,SW 18TH AV,FORT LAUDERDALE,FL,33312,1,1,2022
